1481396399.000000, 1481396399.000000, 1481396399.000000
32.000000, 32.000000, 32.000000
-21,-81,4
-23,-86,5
-28,-71,7
-29,-60,5
-24,-64,-1
-22,-76,-6
-18,-75,-7
-14,-76,-5
-11,-61,1
-16,-49,1
-19,-44,0
-25,-42,-3
-24,-41,-3
-19,-39,-3
-15,-40,-4
-13,-48,-2
-15,-59,0
-15,-62,2
-17,-67,0
-24,-75,5
-31,-66,9
-34,-67,6
-27,-72,12
-30,-81,6
-27,-78,7
-30,-68,3
-18,-51,5
-17,-43,2
-15,-40,3
-18,-39,2
-17,-39,2
-18,-45,-2
-20,-51,-3
-23,-67,0
-21,-74,1
-22,-94,3
-26,-103,7
-33,-82,11
-22,-59,9
-16,-62,5
-15,-69,0
-17,-76,-8
-13,-72,-10
-8,-57,-6
-14,-47,-1
-18,-43,-1
-25,-37,-6
-27,-37,-4
-20,-38,-1
-16,-39,0
-13,-44,0
-14,-50,0
-19,-65,1
-20,-72,1
-27,-84,8
-33,-65,18
-28,-63,17
-23,-79,5
-20,-82,-2
-8,-78,2
-21,-65,-2
-11,-52,8
-16,-46,5
-18,-37,-1
-21,-37,-1
-21,-38,0
-20,-40,2
-18,-52,-1
-19,-66,-3
-20,-73,-2
-23,-85,1
-25,-95,5
-34,-87,13
-36,-72,13
-17,-66,2
-14,-75,-2
-17,-82,-5
-14,-77,-7
-11,-55,-6
-8,-44,3
-14,-40,3
-24,-35,-2
-29,-36,-5
-25,-39,-3
-19,-39,-1
-13,-49,3
-13,-55,3
-13,-64,2
-16,-72,0
-30,-80,4
-36,-71,11
-31,-60,12
-22,-78,2
-16,-82,-2
-11,-71,0
-12,-62,2
-15,-50,10
-17,-45,9
-20,-37,3
-20,-37,0
-20,-40,0
-18,-46,2
-18,-63,0
-19,-74,1
-23,-81,3
-29,-95,11
-33,-96,15
-39,-79,8
-34,-61,4
-19,-64,-3
-17,-72,-2
-9,-75,1
-11,-71,-2
-11,-50,-6
-19,-39,-4
-27,-37,-6
-28,-35,-6
-25,-35,-3
-15,-40,2
-11,-41,2
-12,-53,0
-12,-60,-1
-15,-74,-3
-21,-84,-1
-35,-75,13
-38,-62,19
-32,-68,12
-17,-78,0
-7,-81,-3
-4,-67,1
-7,-59,7
-16,-48,11
-18,-44,8
-22,-39,1
-26,-40,-2
-24,-45,-1
-21,-50,0
-17,-62,-1
-18,-71,0
-21,-76,0
-31,-91,5
-36,-91,9
-37,-68,10
-26,-59,6
-11,-70,2
-7,-77,3
-5,-75,2
-8,-66,-1
-14,-48,-6
-18,-40,-5
-25,-37,-4
-26,-35,-3
-23,-36,-2
-16,-40,-2
-13,-43,-2
-14,-58,1
-14,-64,0
-14,-68,-1
-17,-75,1
-29,-74,10
-29,-64,12
-26,-68,9
-23,-75,-2
-19,-75,-2
-21,-74,3
-20,-65,7
-17,-51,8
-16,-49,5
-17,-48,3
-17,-49,1
-18,-51,2
-17,-51,3
-14,-55,2
-14,-63,4
-16,-65,6
-17,-67,5
-19,-75,6
-24,-85,6
-28,-85,2
-20,-74,0
-14,-71,1
-8,-66,5
-7,-64,3
-10,-66,-5
-13,-62,-9
-17,-54,-12
-21,-48,-11
-19,-47,-8
-21,-51,-10
-19,-52,-10
-16,-55,-11
-17,-57,-11
-18,-58,-8
-19,-57,-7
-18,-62,-7
-17,-67,-7
-17,-67,-3
-18,-61,9
-19,-61,18
-8,-70,33
-18,-71,24
-24,-55,12
-26,-59,2
-19,-58,-3
-20,-60,-6
-19,-60,-2
-19,-60,-1
-20,-57,1
-21,-56,3
-21,-57,4
-20,-60,7
-18,-62,9
-19,-63,10
-25,-64,6
-23,-61,4
-21,-60,3
-21,-59,3
-21,-59,3
-22,-58,1
-24,-61,-1
-26,-65,-3
-25,-62,-5
-25,-60,-3
-24,-59,-7
-20,-58,-10
-21,-57,-13
-21,-59,-13
-21,-61,-13
-20,-59,-12
-22,-56,-12
-23,-56,-13
-26,-58,-11
-25,-59,-13
-25,-60,-14
-26,-68,-17
-27,-69,-16
-25,-64,-14
-25,-65,-12
-21,-66,-12
-19,-67,-14
-13,-71,-19
-11,-68,-19
-12,-64,-18
-14,-62,-16
-17,-58,-16
-17,-59,-14
-14,-59,-12
-11,-58,-7
-12,-57,-6
-14,-55,-5
-15,-57,-5
-16,-67,-6
-15,-67,-5
-14,-67,-4
-13,-66,-3
-13,-62,-3
-14,-56,-2
-13,-55,-2
-12,-61,-5
-10,-66,-7
-13,-65,-8
-15,-62,-8
-19,-55,-6
-20,-54,-5
-23,-56,-7
-24,-57,-7
-20,-61,-6
-18,-67,-6
-21,-66,-4
-27,-61,0
-27,-61,0
-17,-64,0
-14,-66,-2
-10,-65,0
-11,-64,0
-10,-63,0
-11,-64,-1
-13,-63,-1
-11,-60,0
-9,-59,0
-9,-59,0
-9,-58,0
-12,-59,0
-13,-60,0
-17,-60,0
-18,-60,0
-19,-60,-1
-19,-60,0
-20,-60,0
-20,-61,0
-20,-61,0
-21,-61,-1
-21,-61,-1
-19,-62,-1
-19,-64,1
-17,-65,4
-17,-65,6
-16,-63,7
-16,-63,8
-14,-60,7
-14,-58,6
-14,-55,4
-14,-55,1
-14,-54,0
-19,-57,0
-21,-57,0
-21,-56,0
-21,-56,1
-21,-57,2
-20,-59,2
-20,-62,2
-22,-64,3
-24,-72,3
-29,-81,7
-31,-80,7
-31,-80,8
-29,-80,7
-21,-63,2
-17,-58,2
-12,-62,0
-10,-64,-1
-15,-67,-9
-16,-64,-9
-20,-54,-8
-21,-50,-2
-22,-48,0
-26,-44,0
-25,-43,1
-21,-43,6
-19,-44,6
-20,-54,5
-20,-58,4
-20,-64,6
-21,-70,6
-29,-69,12
-32,-62,13
-26,-62,11
-18,-73,3
-13,-74,1
-10,-73,3
-14,-66,5
-18,-52,4
-22,-47,2
-24,-42,-2
-24,-41,-4
-23,-48,-1
-18,-56,-1
-16,-58,-1
-18,-63,-1
-21,-70,-1
-24,-78,0
-23,-83,3
-27,-84,15
-30,-79,17
-21,-68,4
-14,-70,-4
-8,-75,-7
-5,-68,-3
-7,-60,-1
-8,-54,-1
-13,-44,-2
-22,-40,-5
-25,-39,-6
-23,-40,-4
-19,-41,-3
-12,-49,0
-11,-55,0
-11,-67,-2
-16,-80,-4
-24,-83,-3
-31,-77,2
-34,-61,8
-31,-65,6
-20,-76,0
-9,-79,0
-8,-64,4
-11,-49,12
-15,-44,11
-21,-36,3
-20,-39,0
-17,-43,1
-15,-47,2
-16,-63,-3
-17,-68,-5
-24,-76,-2
-27,-88,2
-31,-91,5
-32,-71,11
-28,-66,6
-18,-78,-3
-15,-83,-6
-8,-78,-6
-6,-66,-3
-10,-50,4
-11,-45,5
-19,-34,3
-24,-38,4
-19,-36,1
-12,-37,-4
-12,-44,-5
-13,-59,-5
-15,-65,-5
-20,-79,-5
-28,-82,-3
-37,-61,8
-35,-63,7
-31,-80,1
-24,-84,-2
-6,-77,1
-3,-55,10
-6,-51,14
-14,-42,11
-19,-40,5
-20,-37,0
-20,-41,-1
-16,-53,3
-17,-67,3
-19,-73,4
-21,-77,5
-26,-94,3
-30,-100,3
-33,-85,3
-19,-66,-4
-13,-69,-4
-5,-73,-2
-4,-72,-4
-9,-53,-7
-11,-44,-7
-17,-37,-4
-20,-35,-2
-23,-36,-2
-18,-40,0
-15,-42,-1
-11,-49,-2
-13,-57,-2
-17,-70,-3
-21,-76,-3
-32,-85,4
-34,-73,11
-27,-62,8
-24,-71,4
-17,-81,-1
-13,-81,0
-13,-64,5
-12,-52,10
-16,-48,6
-21,-42,1
-21,-41,-1
-17,-42,0
-13,-44,2
-15,-54,0
-16,-61,0
-19,-70,0
-21,-75,0
-25,-86,1
-34,-84,3
-37,-74,5
-26,-62,-5
-21,-70,-10
-22,-73,-11
-20,-72,-14
-15,-55,-11
-16,-48,-6
-19,-42,2
-17,-40,2
-17,-38,0
-18,-41,0
-17,-44,-1
-13,-52,-1
-14,-59,-1
-18,-70,-2
-23,-77,-2
-31,-83,4
-33,-77,6
-29,-56,4
-23,-60,0
-19,-73,-4
-16,-76,-4
-16,-65,-3
-18,-52,4
-20,-48,5
-20,-44,2
-19,-43,0
-17,-44,1
-15,-45,3
-15,-51,5
-14,-55,5
-15,-66,3
-17,-72,3
-20,-84,1
-29,-87,5
-31,-83,8
-29,-63,7
-20,-70,1
-14,-75,-6
-10,-73,-7
-6,-64,-9
-7,-58,-8
-10,-49,-3
-14,-46,-3
-19,-43,-5
-20,-45,-9
-15,-45,-8
-10,-45,-6
-9,-49,-5
-11,-58,-4
-12,-60,-3
-18,-67,-1
-21,-75,4
-25,-78,11
-25,-78,12
-22,-77,5
-18,-66,1
-19,-69,-1
-10,-71,-2
-7,-72,-2
-8,-63,-1
-10,-59,0
-13,-53,-2
-17,-54,-5
-14,-54,0
7,-56,13
1,-55,13
-7,-54,8
-22,-53,-2
-25,-54,-3
-23,-57,-3
-15,-64,8
-18,-65,7
-27,-66,0
-24,-67,0
-14,-69,2
-10,-68,1
-4,-68,2
-5,-69,0
-9,-69,-1
-15,-65,-4
-16,-63,-4
-12,-60,-2
-11,-59,-2
-11,-56,-2
-12,-56,-3
-14,-56,-4
-15,-57,-4
-17,-58,-3
-18,-58,-4
-19,-60,-2
-18,-60,-1
-19,-63,1
-19,-62,2
-20,-62,2
-20,-60,3
-21,-61,2
-20,-61,3
-19,-61,2
-20,-61,1
-21,-62,0
-22,-62,-1
-22,-62,-2
-20,-62,-2
-20,-61,-3
-19,-60,-4
-18,-62,-5
-19,-62,-6
-18,-62,-6
-18,-62,-6
-18,-63,-7
-18,-63,-7
-16,-61,-7
-16,-61,-7
-17,-61,-7
-17,-62,-8
-17,-63,-8
-16,-64,-8
-17,-65,-8
-17,-61,-7
-17,-60,-7
-16,-59,-6
-15,-58,-6
-11,-57,-1
-11,-56,-1
-15,-59,1
-17,-60,3
-20,-63,6
-20,-61,7
-19,-60,7
-19,-58,3
-19,-58,2
-20,-61,1
-20,-64,-1
-21,-65,-3
-20,-65,-4
-17,-65,-4
-16,-64,-4
-16,-64,-5
-16,-63,-6
-15,-62,-6
-15,-64,-5
-15,-65,-5
-13,-63,-4
-11,-62,-3
-11,-62,-2
-12,-60,-2
-12,-56,-3
-11,-56,-3
-11,-58,-1
-11,-63,-2
-10,-63,-1
-11,-62,-1
-14,-58,-1
-16,-56,-2
-17,-56,-2
-18,-57,-2
-17,-59,-1
-18,-62,-1
-19,-64,-1
-20,-67,-2
-20,-68,-3
-19,-68,-3
-19,-65,-3
-19,-64,-3
-18,-61,-3
-18,-61,-4
-17,-62,-4
-17,-61,-4
-18,-62,-5
-19,-62,-4
-18,-63,-4
-16,-62,-3
-14,-60,-2
-12,-62,-2
-12,-62,-2
-14,-60,-3
-14,-60,-2
-15,-58,0
-15,-58,0
-15,-60,1
-16,-60,2
-15,-61,2
-15,-61,2
-17,-61,1
-18,-61,1
-19,-61,0
-19,-60,0
-19,-60,0
-20,-60,-1
-20,-60,-1
-21,-60,-1
-20,-59,-2
-20,-59,-2
-20,-59,-2
-20,-61,-2
-20,-62,-2
-18,-63,-1
-16,-63,0
-16,-64,1
-13,-66,5
-9,-70,9
0,-68,20
-9,-65,15
-12,-59,6
-12,-58,2
-13,-56,-1
-12,-56,0
-14,-55,2
-16,-57,3
-17,-58,4
-18,-57,3
-18,-57,3
-19,-56,3
-20,-57,3
-21,-60,3
-19,-60,4
-20,-60,3
-22,-61,3
-23,-63,4
-24,-73,3
-25,-78,4
-26,-81,4
-25,-81,2
-22,-81,2
-19,-76,3
-12,-59,4
-9,-55,3
-11,-56,-1
-13,-59,-4
-14,-65,-8
-15,-60,-8
-17,-54,-8
-22,-51,-2
-23,-48,-2
-21,-42,0
-20,-42,2
-17,-42,3
-17,-43,3
-19,-50,2
-19,-56,3
-21,-67,3
-24,-85,4
-25,-82,4
-30,-66,11
-31,-64,10
-32,-69,4
-30,-72,1
-20,-70,-2
-18,-65,1
-18,-48,5
-19,-43,3
-19,-42,-1
-18,-47,0
-15,-49,3
-14,-50,4
-18,-54,4
-23,-60,5
-23,-65,6
-21,-74,5
-23,-75,6
-33,-82,5
-34,-82,-3
-34,-65,-8
-26,-60,-13
-21,-67,-8
-13,-69,-7
-9,-64,2
-14,-56,3
-11,-52,4
-13,-47,4
-18,-42,3
-25,-43,-1
-25,-42,-3
-20,-43,-4
-19,-47,-1
-21,-53,0
-23,-60,0
-24,-73,-2
-31,-88,4
-34,-79,8
-27,-63,3
-23,-71,0
-18,-72,-4
-15,-70,-5
-13,-61,-2
-13,-53,2
-16,-49,1
-18,-44,0
-21,-40,0
-21,-39,1
-17,-39,3
-24,-48,0
-29,-57,-1
-26,-72,0
-23,-80,1
-26,-90,5
-39,-88,8
-42,-76,8
-39,-61,3
-21,-54,-5
-21,-64,-7
-22,-71,-13
-24,-59,-11
-21,-51,-8
-16,-44,-3
-14,-43,-2
-17,-40,-4
-19,-40,-5
-17,-41,-4
-15,-45,-4
-7,-54,-4
-5,-68,-8
-8,-74,-10
-11,-82,-11
-32,-83,4
-42,-63,16
-36,-61,6
-22,-70,-8
-17,-73,-10
-9,-77,-2
-8,-68,5
-10,-54,13
-15,-49,10
-23,-41,-1
-25,-39,-4
-23,-40,-3
-15,-46,2
-13,-50,3
-14,-63,0
-18,-69,-1
-25,-81,0
-26,-94,2
-35,-101,11
-37,-88,9
-22,-64,-2
-17,-68,-6
-8,-75,-3
-3,-67,-1
-4,-55,-2
-6,-41,-2
-12,-38,-3
-27,-35,-7
-30,-36,-9
-26,-39,-9
-20,-40,-7
-12,-49,-4
-10,-56,-3
-13,-67,-4
-16,-70,-4
-26,-82,1
-34,-69,13
-33,-61,12
-26,-69,3
-22,-74,0
-13,-80,-2
-12,-77,2
-10,-62,12
-12,-56,13
-18,-44,3
-20,-39,0
-21,-40,-2
-14,-42,3
-13,-48,2
-13,-58,-1
-15,-63,-4
-20,-76,-3
-23,-85,-3
-32,-98,4
-35,-91,9
-28,-59,6
-17,-60,1
-8,-73,-3
-4,-78,-7
-4,-68,-8
-8,-50,-7
-9,-47,-2
-17,-38,0
-22,-36,-2
-24,-40,-6
-20,-42,-6
-11,-47,-5
-9,-52,-5
-10,-66,-5
-11,-70,-5
-19,-82,-3
-30,-75,5
-33,-65,10
-26,-62,6
-24,-67,3
-13,-74,0
-7,-78,-1
-7,-68,3
-9,-59,6
-13,-49,8
-16,-45,5
-21,-40,0
-20,-39,1
-16,-40,3
-14,-50,2
-15,-57,1
-19,-68,-1
-21,-70,0
-21,-84,2
-27,-89,2
-31,-83,7
-30,-68,8
-16,-68,1
-13,-78,-3
